kshkod,telnevclear,user_citycode,rrrdi_plain,residential_area_plain,ethnic_fractionalization,religious_fractionalization,fidesz_cv_14,gini_2016,gini_2011,population,income_pc_2011,income_pc_2016,fragmentation,user,popdensity_residental,sw,jaras_cv,stdist_new,fragm_relstdev_x_clc_new,gini_delta,gini_change,user_rate,county,county_id,km_to_any_border,pct_at_least_hs,pct_over60,pct_unemployed,foreign_2011,foreign_2015,foreign_delta,foreign_change,diversity,radii,d500l,d500div,d1kl,d1kdiv,diversity_com,radii_com,d500l_com,d500div_com,d1kl_com,d1kdiv_com,rrrdi_plain_scaled,stdist_new_scaled,diversity_scaled,radii_scaled,d500div_scaled,log_d500l,log_d500div,diversity_com_scaled,radii_com_scaled,log_d500l_com,log_d500div_com,z_rrrdi_plain,z_fragm_relstdev_x_clc_new,z_stdist_new,z_fragmentation,z_gini_2011,z_gini_2016,z_sw,z_ethnic_fractionalization,z_religious_fractionalization,z_fidesz_cv_14,z_jaras_cv,z_income_pc_2011,z_income_pc_2016,z_population,z_popdensity_residental,z_user,z_residential_area_plain,z_user_rate,z_km_to_any_border,z_pct_at_least_hs,z_pct_over60,z_pct_unemployed,z_foreign_2011,z_foreign_2015,z_foreign_delta,z_diversity,z_radii,z_d500l,z_d500div,z_d1kl,z_d1kdiv,z_rrrdi_plain_scaled,z_stdist_new_scaled,z_diversity_scaled,z_d500div_scaled,z_diversity_com_scaled,z_radii_com_scaled,z_d500l_com,z_d500div_com,ps0,ps1,ps2
3132,Szabadkigyos,41958,0,4419312,.055305,.73018831,.062413398,.43054679,.41725501,2794,566243.81,847026,.2095771,849,.00060999999,.30213061,.049350701,666.48108,0,1.0318552,.031358372,.30386543,Bekes,4,16.790001,42.900002,.29229799,.075757578,0,0,0,0,.16959888,.74214333,3,.041227773,1,0,.20707555,.77008617,3,.16856737,2,.075093538,0,43.556599,.011083812,.048501361,.0026943625,1.0986123,.040400568,.013533028,.050327513,1.0986123,.15577853,-1.72439585671384,-.4435302960147073,-.7620657346704216,-1.472965624788822,-1.58064634180681,-1.55473917973188,.555099517053486,-.8105618281670175,.6408123225737575,-.6744847278729138,-.8200572716022461,-.6172284203356004,-.6264281377875198,-.4495850081329401,-.3127268008672729,-.3822672122856892,-.6941787788101919,-.370635250117858,-1.309152679935004,1.107112320613716,.8308064477326131,.373682092433624,-.1083177117944912,-.2711410514949595,-.0725878240666648,1.172429729668515,-1.093219104049919,-.6468170308101704,-.1945920984611482,-.8387722642288349,-.6524924385143992,-1.766522331373092,-.7465744124674227,1.25840564838209,-.1632907885860882,.6968183033565968,-1.035037866451761,-.3948052445406176,.5982585481207671,-1.7770277,-1.4579399,-2.1716297
3136,Koka,16552,.36009991,13200000,.093613699,.54541951,.089024,.45785639,.4260368,4510,628546.5,907533,.27299979,1410,.0003358,.29135141,.052717,902.57538,0,1.0746874,.072029792,.31263858,Pest,14,85.349998,23.6,.17681728,.10117878,3000,3000,0,0,.14212286,1.9861439,7,.10500292,4,.064606287,.2664358,1.9892884,4,.2664358,2,.10008048,.021963034,55.049427,.0086682867,.12113789,.0064042853,1.9459101,.099847972,.01625032,.12132969,1.3862944,.2362065,-.3894165870050138,-.4435302960147073,-.4579453237936271,-.3727808350664467,-1.337669399486054,-.7615653942702604,.432739637018198,-.3712220105096944,-1.477327412692842,-.2008180447404395,-.6773892324221228,-.3107263869004737,-.3697960003748055,-.3685750605618155,-.9942609673517434,-.3312475808849473,-.1210427286894633,-.2717284492886027,.661779691035204,-.5279084005055001,-1.188288394160924,1.187992195740652,-.1082798899247131,-.2709274183345059,-.0725878240666648,.7802682911762545,-.1666377992279315,-.3693163908344692,.8672202424433402,-.291545669773333,.9043159250344856,-.3960943149686272,-.4861391950015002,.7158275035589267,.8169680422270688,1.130480247697278,-.2802551483075379,-.2279361213984501,1.57712581956814,-.6238333,-.94852126,-.91533089
3148,Nagyrede,62358,0,5920377,.0134752,.55871522,.075830102,.4664593,.49112919,3256,825382.63,1122106,.19676021,752,.00052210002,.3295072,.083347797,799.68103,0,.94976908,-.051536396,.23095824,Heves,10,66.470001,26,.27144867,.037974682,20430,15500,-.24129999,-.27614883,.17819442,2.4754255,7,.15530667,5,.11867749,.25993019,2.6634445,4,.34657359,2,.14058378,0,51.28162,.01142718,.15874308,.0099594435,1.9459101,.14436582,.016668698,.1708003,1.3862944,.29756328,-1.72439585671384,-.4435302960147073,-.590486734260628,-1.695298476700913,.4633241690268847,-.5117042003328868,.8658643155264764,-1.290283077868527,-1.324908971602292,-.435668422394175,.6207829744783836,.6576214482710155,.540285934294875,-.427774637633022,-.5312054113875042,-.3910887884815394,-.596200754186783,-1.192577079409642,.1190259122185098,-.3245898059824149,.4662715356645984,-.8366066254761254,-.1080601448613019,-.270037280165949,-.0726358519666639,1.295112733423394,.1977986152516034,-.3693163908344692,1.704743115531354,-.1091368049548324,2.20726189687108,-1.766522331373092,-.5715202348706545,1.335533477363142,1.756334003086065,1.197250634771953,.2456380741607429,-.2279361213984501,2.378653554289412,-1.6532458,-2.3096511,-2.1100001
3150,Dunafoldvar,3945,.67390758,14500000,.077337898,.69228178,.1129788,.51684111,.4864819,8983,703636.38,1031841,.31344739,3140,.00059710001,.2374448,.058883902,1457.2889,0,1.0624056,.060535759,.34954914,Tolna,17,101.63,38.799999,.21284364,.056915808,20900,37500,.79422039,.58457059,.040236413,2.558177,16,.030590607,6,.009480889,.063006736,2.5759091,12,.07660868,4,.030371804,.040868495,88.375931,.0024400998,.15513825,.0018551388,2.7725887,.030132042,.0038209849,.15621361,2.4849067,.073815987,.7739459009853595,-.4435302960147073,.2565984703021721,.328858009624353,.3347418477206293,.9515737533247319,-.1791800289586589,-.557879547460168,.2062620959286404,.225575593003366,-.416028092757874,.0586830286707165,.1574393234306996,-.1574110189035169,-.3447901801333487,-.1739143147115363,-.0361886870520714,.1443942182186279,1.129789868049128,.7597761391961247,-.5583941261943274,-.229870925846133,-.1080542194350367,-.268470636989289,-.0724297439197541,-.6739433409588567,.2594352443737457,.2550600491108586,-.3716936039730536,.0732720598636683,-.4240328256872951,.7835502367308614,.2690617854437407,-.6831554808936005,-.385035694760473,-.8531599630102326,.0905755080084586,1.10701686373889,-.3215003385209935,.74430913,.83717245,.99514925
3158,Szentgotthard,9951,.68295318,9140880,.2322405,.53662419,.1760225,.53033918,.50679147,8771,792064.81,1075592,.33105189,3603,.00096700003,.21899509,.0081971996,2329.3911,4.7657061,1.0464643,.045417171,.41078556,Vas,18,0,31.1,.23853821,.075747505,23487688,21334386,-.091677897,-.096156225,.028389892,2.8308504,22,.019280408,10,.012271631,.052702263,3.062813,12,.053206112,9,.035730734,.042609297,145.33018,.001771239,.17661612,.0012029003,3.0910425,.019096896,.0032880823,.19108821,2.4849067,.051838953,.8074801765563562,.9569218439293237,1.379980406681404,.6342408580179951,.8966724093865695,1.343608603144646,-.3886115027442371,1.218606792915866,-1.578154604703076,1.347748627073378,-2.564195104217147,.4937123507563974,.3430031861894493,-.1674192408645183,.5746099313861588,-.1318072035911379,-.3859909882980557,.8347618602445772,-1.791824171933683,.1074623083685958,-.1091436551800174,.3733594209788215,.1877983805141762,1.248103051011007,-.0726060714644847,-.8430271562481468,.4625332515226172,.6713110090744106,-.5600006514883137,.8029075191376708,-.3567847275847578,.8921711112270697,1.559683474800399,-.83339582733179,-.5573741992729705,-.9382077086895767,.4613070816485341,1.10701686373889,-.5555697763431919,1.733723,1.7802829,1.9090638
3165,Albertirsa,6746,.52299207,13600000,.078968197,.78271568,.086595803,.46565661,.4655301,12523,684099.31,955066,.27516729,4270,.00091090001,.1817227,.073706701,1172.676,0,1.0002718,.00027176025,.3409726,Pest,14,109.432,35.299999,.25925925,.049382716,972220,1607890,.65383279,.50309551,.02714422,2.9565589,19,.01939996,6,.0083032046,.10194989,3.3770022,6,.095352024,2,.016328668,.031840097,71.39328,.0016525578,.17999724,.0011810821,2.9444389,.019214179,.0062067751,.20559409,1.7917595,.091075793,.2144648733247084,-.4435302960147073,-.1100202787025273,-.3351816293986454,-.2449583839027284,-.5350175153665562,-.8117082801106371,-.5391826144087215,1.242971929194168,-.2440397551740978,.2121810433706241,-.0374307928012571,-.1681913036018941,.0097074044075444,.4351712689629551,-.0711474992341061,-.094933792801035,.0477039151068331,1.354078356312929,.4632698083882133,.2531485647545805,-.4711763103347993,-.0960606523825843,-.1566415107076915,-.0724576864051545,-.8608064637054812,.5561660189166007,.4631855290926346,-.5580101925531977,.0732720598636683,-.4524113168002013,.2202050733787687,-.1157764981314541,-.8600541508254187,-.5631391422842723,-.4724035139852374,.6155106144650567,.1058021248858849,-.1340318555663893,.073842153,.34530729,.53378505
3173,Nagymaros,10342,.64069611,9841723,.15716641,.60136062,.053244099,.51441169,.55779183,4879,936602.38,1076488,.31247151,1462,.00048469999,.27009261,.041674402,715.44269,0,.92222881,-.080961913,.29965156,Pest,14,11.62,32.099998,.20313317,.07859008,8420,13000,.54387838,.43429768,.020484097,2.172291,26,.0091348477,11,.0054220688,.082132176,2.2686784,2,.0067177657,2,.0067177657,.039789498,44.431526,.0012721349,.13490696,.00056730642,3.2580965,.0090933777,.0051006991,.14089297,.69314718,.0066953022,.6508227841491903,-.4435302960147073,-.6989967632681837,.3119296043170869,2.30776396215172,.8810140587040048,.1914208111011641,.3576264196049377,-.8360336461792211,-.8376975543871362,-1.145388630893961,1.204774081664984,.3468034472356388,-.3511550893183744,-.6241645437825204,-.3265184884912956,-.3402453259109213,-.4181416133530581,-1.457777574199407,.1921782413020149,-.7281746225895794,.4644148234359639,-.1082115584133138,-.2702153077996604,-.0724795715274929,-.9558654964097029,-.0279880147030139,.9488116490501117,-.7289172536553634,.9853163839561715,-.5218376301492207,.71622404372143,-.7267479666339682,-.9455051879593874,-.7253147650073214,-.6489259690870025,-.07228932385523,-.5616743676827851,-1.020540165914936,-.0074415375,.35599872,.50798374
3179,Tapioszecso,12544,.66976058,10500000,.072171703,.62515008,.1133541,.44804299,.44087991,6340,667790.19,983630,.30818769,2038,.00060319999,.24350201,.052717,1168.873,2.1781709,1.0162473,.016116697,.3214511,Pest,14,95.550003,28.299999,.26456693,.051968504,100,500,3.9603961,1.6014856,.057019144,2.390501,20,.078798242,10,.053277876,.21072519,2.6829731,5,.22140372,4,.193112,.041427929,72.300446,.0035269095,.14786404,.004874052,2.9957323,.075847685,.013034371,.16595486,1.6094379,.20000079,.7585719735812208,.1965478131627335,-.1149190136236001,.2376188421466265,-.9269863525425887,-1.0465835243004,-.1104218211628885,-.6171275875543467,-.5633176188934451,.2322559159113251,-.6773892324221228,-.1176645704540697,-.0470410173035026,-.2821833332569448,-.32962843499777,-.2741346958231542,-.2972780459363541,-.172377811338722,.9550048940980737,-.1297428532276096,.3459493310633672,-.3883465240207742,-.1083164510654986,-.2711054459682172,-.0717995542121752,-.4344056784319957,.1345434885342922,.5325606890865599,.4309303997796091,.8029075191376708,.631336855628189,.8184572735682303,-.0952195173950382,-.439034958141562,.4126402973259637,.6172359032920293,.1941290223708994,-.0610669982562826,1.126720778364774,.5114063,.23697419,.66449785
3181,Danszentmiklos,38359,0,3589772,.047085099,.69650477,.27144149,.4428857,.43468249,3053,546155.13,821393,.2011143,790,.00083460001,.355838,.073706701,703.35999,0,1.0188718,.018695921,.25876188,Pest,14,108.142,35.400002,.26098901,.061126374,108520,61100,-.43696612,-.5744155,.27798715,.53499645,3,.1137588,1,0,.34657359,.54321748,2,.34657359,2,.34657359,0,46.599884,.018417552,.035445254,.0075368905,1.0986123,.1077406,.022961626,.035989922,.69314718,.29756328,-1.72439585671384,-.4435302960147073,-.7145608683779664,-1.619768683236682,-1.098458307870427,-1.196370751098369,1.164757813852053,-.904831018666175,.2546733058955357,3.046199374639485,.2121810433706241,-.7160559960769009,-.7351469897930747,-.4373579822466224,.2455248152896652,-.387632913270794,-.7483247955024088,-.879124084671442,1.316993982719987,.4717416117396204,.2833920810453916,-.094995093056817,-.106949568691716,-.2667900561270537,-.0726747969896506,2.719441017561433,-1.247510369695495,-.6468170308101704,1.012999713230676,-.8387722642288349,-.6524924385143992,-1.766522331373092,-.6776115199872828,2.905719462832138,1.116232002362637,2.201560609742082,-1.18745244610999,-.5616743676827851,2.378653554289412,-1.7282636,-2.0548735,-3.0378783
3194,Papa,2142,.73164392,31300000,.083257601,.70605081,.0986415,.46339741,.45644611,31904,757378.88,1135884,.3014327,14786,.0010233,.1134818,.074286699,2374.7241,8.7657824,1.0152292,.015114425,.46345285,Veszprem,19,79.989998,23.9,.24738675,.048780486,1207050,2950474,1.4443665,.89378595,.020976648,2.5493369,22,.0098904883,8,.0029246358,.033257563,2.5910134,14,.027480187,6,.0068109678,.042391706,137.59235,.0012153944,.14770947,.00057305838,3.0910425,.0098418975,.001926955,.15012424,2.6390574,.027109385,.9879887561726537,2.132385737955485,1.438375264169013,.1204408807190828,-.4962965537579718,-.6006330629808112,-1.586343429870465,-.4899899808379862,.364106555626772,-.0296272772071461,.2367620931717955,.3230726752953072,.5987234306055891,.924657167738527,.7145455602734857,.8852204932974486,1.060386620261916,1.428522859600091,.5076927731887814,-.5024936367837871,.0455666691574705,-.4904673855505415,-.0931000824892494,-.0610346896761947,-.0723003400573396,-.9488353902486633,.2528507969485017,.6713110090744106,-.7163363555111804,.4380897895006696,-.5820179123776312,.8785941120885227,1.384338846691982,-.958250330067542,-.7237949451977768,-1.155434694817271,.0258429187234915,1.440755110023225,-.8128771322798756,1.6001352,1.7477044,1.8655958
3196,Tahitotfalu,10943,.43593791,17100000,.0608254,.76520592,.086464301,.5253315,.52143931,5581,802253.88,1042098,.27273861,2048,.00033089999,.2501756,.079677202,1024.9449,.44951931,1.0074643,.0074365698,.36695933,Pest,14,28.24,28.5,.25310174,.0719603,9003,13153,.46090627,.37905696,.033917099,2.866168,17,.02637597,3,.0041799354,.13605258,3.7902102,5,.11316482,4,.093228608,.026175242,61.541294,.0020365017,.17209479,.0015837059,2.8332133,.026034122,.0081690745,.22757754,1.6094379,.10720715,-.1082664005929461,-.3114343869527486,-.3003172770024662,-.3773116197393091,1.301952817000058,1.198166547560348,-.0346667148661095,-.7472516280484698,1.042244771876948,-.2463804940632719,.4652184571750498,.5438380917213854,.2009429814114657,-.3180146562210961,-1.006440117977532,-.2732252549782212,.1335193962227123,.3406733731474672,-.979993196334248,-.1127995696910496,.1454889209187221,.2520449777904769,-.108204208363287,-.2702044125084773,-.0724960861416097,-.7641380642487572,.4888392537461369,.324435209104784,-.4418644141411612,-.4739545345918336,-.5517691375652325,-.1332650525612948,-.3390291228207682,-.7738122003758367,-.456755385293692,-.1592334098570635,.8492037982592561,-.0610669982562826,.0441294103009286,-.33396241,-.06112412,.14650606
3202,Bugyi,14542,.22592279,9034806,.074035697,.72613358,.1103144,.44910839,.4616116,5314,723122.81,1041155,.30836329,2275,.00059970003,.30712941,.0925868,991.77032,0,.97291404,-.027459545,.42811441,Pest,14,96.980003,26.200001,.23279196,.055297758,1929106,6114520,2.1696122,1.1536093,.07475397,3.2236478,12,.078794211,9,.062968411,.2601184,4.1166744,4,.20707555,3,.14459386,.014105544,61.921421,.0046672821,.20126924,.0049195355,2.4849067,.075843945,.016240556,.25702557,1.3862944,.18820053,-.8868442894428672,-.4435302960147073,-.3430505389889763,.240664869450655,-.3533764588452397,-1.015640192484158,.6118433236228658,-.5957505457256607,.5943300447979214,.1781494380935894,1.012343694789575,.1545477972355799,.1969433763148621,-.3306193508606592,-.3383277352950801,-.2525809477982418,-.3929146864616285,1.030124110175546,.9961139079885641,-.3076465224458548,-.2096125110416301,-.2817014602476911,-.0839969131544035,.1642803592573717,-.0721559885010378,-.1812788948156169,.7551044836942147,-.0224405908648426,.4308632903265431,.6204986543191702,.8648482626347628,-.8863782938374402,-.3304151905038471,-.1828830660071172,.4246582211776721,1.128921979687371,1.162248661790961,-.2279361213984501,.9834123190285433,-.86040294,-.95754004,-.61488521
3204,Taplanszentkereszt,69387,.51909667,8197179,.0453455,.57263499,.0062512001,.45298681,.44173369,2657,857750.31,1230098,.28118739,530,.00031929999,.3420651,.064865701,633.6366,0,1.0254749,.025155827,.19947308,Vas,18,24.84,24.700001,.23187661,.086889461,75290,23360,-.68972385,-1.1702926,.1678382,1.0864433,5,.11768592,3,.054560553,.1900541,1.1657397,3,.21098404,1,0,.032608006,39.803043,.010543063,.068246923,.0073926565,1.6094379,.11126041,.011938596,.073228069,1.0986123,.19143328,.2000236566294862,-.4435302960147073,-.8043737341354564,-.2307517988757245,-.9033638233110297,-.902996389415484,1.008414979714343,-.9247814490000963,-1.165336467443945,-1.67416757554875,-.1625118211826767,.8168563454228076,.998319183067312,-.4560525855322665,-1.035272347163114,-.4112783752390523,-.4475885605651698,-1.547534724676206,-1.077734875856926,-.434720664220674,-.2256167039286577,.7302665080656852,-.1073685089359587,-.2694775612855605,-.0727251054171322,1.147299830451466,-.836770743937845,-.5080667108223198,1.07838354780947,-.4739545345918336,.6622453394859144,.2681203114486764,-.8316324990295764,1.136942115230043,1.078121618601919,.4423574774212437,-.7915954146433393,-.3948052445406176,1.022504478884627,-.39846328,-.88365614,-.96373659
3205,Zalaegerszeg,393,.83369088,36000000,.065421797,.62842858,.12698931,.48002791,.4749907,59464,921417.81,1217231,.3359929,33648,.0017157,.087979801,.085387699,2887.502,21.58168,1.0106049,.010549021,.56585497,Zala,20,43.970001,37.099998,.22845529,.058536585,14261231,4450216,-.68795002,-1.1645919,.0095455116,2.6949263,38,.005464253,16,.0030007309,.017778842,2.7123272,17,.010906552,13,.0067859758,.047915943,165.95764,.00054862321,.15488946,.00031405504,3.6375861,.0054493779,.0010218296,.15588957,2.8332133,.010847504,1.366302053294312,5.898470230560029,2.098900340028052,.7199519925761738,.0167999863818369,-.1176205416956899,-1.875828793429303,-.6945382649598687,-.5257338476440575,.4749614949896879,.7072366163625207,1.130072660749991,.943745568244409,2.22572602266871,2.435531310863144,2.600607815010094,1.367166616950948,2.582984872574426,-.5277940983704645,.6157587138847455,-.2854359832647005,-.1779530410359523,.0714777621249184,.0457635180988265,-.0727247523564708,-1.111990461230014,.3612915564942029,1.781313568977216,-.7900301328593968,1.897360708048675,-.5801842595439544,1.223290059623157,2.027115510656169,-1.108021282553741,-.7922304158277349,-1.29988676359418,.087130820765332,1.941362479449727,-.9786444710837758,2.2983837,2.3867519,2.5322235
