kshkod,town_name,district_name,county,Fragmentation,Fragmentation_scaled,SPB,SPB_norm,ADC,ADC_norm,SCA,SCA_norm
618,Nyiradony,Nyíradonyi,Hajdu-Bihar,0.3417818,0.82037109,0.68730778,0.88934082,2404.8601,1.6412437,0.090898618,-0.61217415
620,Lakitelek,Tiszakécskei,Baranya,0.23531561,-1.0264833,0.58901823,0.54106194,556.77771,-0.94142407,0.044230908,0.1414306
626,Hosszupalyi,Derecskei,Hajdu-Bihar,0.247198,-0.82036102,0.38019499,-0.27878165,2382.749,1.6525682,0.16957426,-1.9347003
629,Ujhartyan,Dabasi,Pest,0.2216353,-1.2637937,0.0,-1.7665223,617.88538,-0.81855971,0.12830454,-1.3403077
633,Kozarmisleny,Pécsi,Bacs-Kiskun,0.3136363,0.33213511,0.0,-1.7665223,741.07599,-0.64976335,0.017436629,0.57786387
637,Pomaz,Szentendrei,Pest,0.32711801,0.56600046,0.67961198,0.68822861,1183.05,-0.18171516,0.0036468261,0.81943262
644,Kalocsa,Kalocsai,Baranya,0.34923929,0.94973528,0.54891157,0.32150292,1530.494,0.38073915,0.0098206289,0.71701992
648,Nagyecsed,Mátészalkai,Szabolcs-Szatmar-Bereg,0.26838249,-0.45287657,0.67359573,0.79936224,912.58807,-0.47112498,0.2601184,-3.320647
649,Bonyhad,Bonyhádi,Tolna,0.29732099,0.049115658,0.46435389,0.016607733,1127.934,-0.16060425,0.007478761,0.75360024
662,Szecseny,Szécsényi,Nograd,0.29128429,-0.055602126,0.64792371,0.77623093,1825.506,0.86819547,0.022591891,0.4997682
667,Ajka,Ajkai,Veszprem,0.3026818,0.14210893,0.70980638,0.81739801,3079.356,2.3374684,0.019082269,0.58105361
669,Kazincbarcika,Kazincbarcikai,Borsod-Abauj-Zemplen,0.29512471,0.011017054,0.3105225,-0.58691835,1326.483,0.096415065,0.040737867,0.21989192
674,Diosjeno,Rétsági,Nograd,0.1949286,-1.727071,0.3175402,-0.4899655,929.43927,-0.37662277,0.053259149,-0.031454701
684,Soskut,Érdi,Pest,0.2734791,-0.36446631,0.57477242,0.41118309,961.04132,-0.41122267,0.015073213,0.63337594
685,Torokbalint,Érdi,Pest,0.3112528,0.29078886,0.50016868,-0.022653036,1092.327,-0.35047892,0.0073808739,0.7662394
704,Baracs,Dunaújvárosi,Fejer,0.27368969,-0.36081335,0.71933258,0.92567205,1986.665,0.96669281,0.12383328,-1.0873622
713,Cserszegtomaj,Keszthelyi,Zala,0.28001639,-0.25106484,0.72086602,1.029031,571.78558,-0.92830068,0.1867719,-2.1919503
714,Piliscsaba,Pilisvörösvári,Pest,0.4456282,2.6217804,0.72124761,0.97832131,1157.45,-0.13387503,0.017047172,0.60048741
724,Apc,Hatvani,Heves,0.1848909,-1.9011937,0.47041121,0.12324839,584.14642,-0.881356,0.10342605,-0.88422364
726,Lepseny,Enyingi,Fejer,0.2192131,-1.3058113,0.65642363,0.77617842,845.48761,-0.54419827,0.016328668,0.607373
735,Mako,Makói,Csongrad,0.33079419,0.62977058,0.51032281,0.11055225,1332.255,0.046046447,0.017347414,0.60501325
738,Solymar,Pilisvörösvári,Pest,0.36011171,1.1383377,0.83579969,1.1773139,1128.463,-0.29012659,0.02377094,0.52066827
740,Paszto,Pásztói,Nograd,0.34170079,0.81896597,0.4743872,0.053188272,1217.783,-0.037118524,0.021100847,0.53245902
741,Kengyel,Törökszentmiklósi,Jasz-Nagykun-Szolnok,0.25392941,-0.70359224,0.0919258,-1.3896825,1555.075,0.58155626,0.041227773,0.15952811
748,Gyorujbarat,Győri,Gyor-Moson-Sopron,0.35438669,1.0390265,0.49064481,0.015905511,1421.54,0.14188509,0.01731714,0.60881281
759,Tiszavasvari,Tiszavasvári,Szabolcs-Szatmar-Bereg,0.3304885,0.62446791,0.58557951,0.45024651,1281.228,0.027851798,0.034371786,0.3242158
761,Dunavecse,Kunszentmiklósi,Baranya,0.24041361,-0.93804896,0.58661628,0.59490341,669.01147,-0.7555427,0.074705191,-0.39824119
768,Dombovar,Dombóvári,Tolna,0.301882,0.12823482,0.82987869,1.355111,1585.9871,0.43298912,0.0085369265,0.73923016
780,Isaszeg,Gödöllői,Pest,0.3129701,0.32057863,0.29174829,-0.64798999,881.49408,-0.50624591,0.027108841,0.43510002
786,Dunapataj,Kalocsai,Baranya,0.2440795,-0.87445718,0.4727222,0.16350682,635.95142,-0.79064178,0.027064707,0.40729028
792,Szentgal,Veszprémi,Veszprem,0.22229099,-1.2524195,0.39901659,-0.15318263,476.63779,-1.0337023,0.08393579,-0.56191134
807,Szendro,Edelényi,Borsod-Abauj-Zemplen,0.2198378,-1.2949747,0.73151988,1.2036883,719.31708,-0.67290157,0.074887499,-0.41239238
819,Bordany,Mórahalmi,Csongrad,0.37300989,1.3620806,0.0,-1.7665223,572.92548,-0.87101656,0.025993668,0.41888964
824,Nagyszenas,Orosházi,Bekes,0.27301869,-0.37245306,0.50502652,0.21400803,844.46338,-0.53089702,0.03014452,0.37461564
828,Telki,Budakeszi,Pest,0.38613641,1.5897846,0.0,-1.7665223,521.89423,-1.0069356,0.043253675,0.17298867
831,Hodmezovasarhely,Hódmezővásárhelyi,Csongrad,0.34857821,0.93826765,0.74495912,0.92328554,2840.407,1.9909921,0.0045291116,0.80596292
833,Taborfalva,Dabasi,Pest,0.27562761,-0.32719642,0.257828,-0.76365632,1189.552,-0.053225387,0.13632394,-1.3702047
851,Sopron,Soproni,Gyor-Moson-Sopron,0.39114159,1.6766088,0.77468449,1.0222613,3181.98,2.4264321,0.0021721758,0.84209913
854,Orbottyan,Váci,Pest,0.30110171,0.11469933,0.63553292,0.50355059,989.33832,-0.45021567,0.015403595,0.64222276
858,Baracska,Martonvásári,Fejer,0.2185961,-1.3165143,0.60760218,0.63380718,793.4436,-0.59524441,0.2664358,-3.5819268
859,Tab,Tabi,Somogy,0.26673841,-0.48139611,0.60762608,0.63321346,805.10938,-0.57883865,0.015539107,0.61533666
873,Bakonycsernye,Móri,Fejer,0.3424021,0.83113146,0.193691,-0.99133033,1194.152,0.002078465,0.12279186,-1.2058327
875,Tat,Esztergomi,Komarom-Esztergom,0.25690609,-0.65195608,0.65023518,0.76960456,949.02283,-0.38932765,0.054419402,-0.023594664
886,Bataszek,Szekszárdi,Tolna,0.3569808,1.0840262,0.57027829,0.48898661,825.64313,-0.54766649,0.057702549,-0.091205284
889,Biatorbagy,Budakeszi,Pest,0.34084421,0.80410701,0.31250069,-0.58301985,959.03247,-0.41454884,0.033964805,0.3305096
892,Adony,Dunaújvárosi,Fejer,0.26440471,-0.52187848,0.71357292,0.83056545,676.78558,-0.83903873,0.055123292,0.025649356
898,Vamospercs,Nyíradonyi,Hajdu-Bihar,0.32801601,0.58157796,0.55140883,0.38895953,763.21942,-0.65009606,0.065876946,-0.21526396
911,Tiszaeszlar,Tiszavasvári,Szabolcs-Szatmar-Bereg,0.1590957,-2.3486595,0.42768669,-0.058671053,2321.0271,1.6323985,0.060121972,-0.14143349
913,Bag,Aszódi,Pest,0.41709551,2.126828,0.39928359,-0.14624768,760.30463,-0.61311722,0.051423687,-0.0084422976
924,Dabas,Dabasi,Pest,0.31594291,0.37214759,0.1416088,-1.2496909,2474.041,1.5456533,0.013037968,0.67370939
926,Kisvarda,Kisvárdai,Szabolcs-Szatmar-Bereg,0.3663078,1.2458203,0.63860321,0.61710536,1120.519,-0.2146742,0.0062970216,0.77568185
934,Kiskoros,Kiskőrösi,Baranya,0.35402489,1.0327504,0.59819901,0.4897202,1291.954,0.036089011,0.0093174428,0.72639626
940,Tapiosag,Nagykátai,Pest,0.223507,-1.2313255,0.0,-1.7665223,642.3938,-0.80410218,0.053450927,-0.026574198
944,Gomba,Monori,Pest,0.27469081,-0.34344706,0.073343202,-1.479761,603.1261,-0.87719399,0.06895344,-0.2664268
946,Janoshalma,Jánoshalmai,Baranya,0.27829289,-0.28096214,0.239657,-0.84672809,1072.061,-0.23932654,0.040628958,0.21490142
947,Nagyhegyes,Hajdúszoboszlói,Hajdu-Bihar,0.21037249,-1.4591681,0.0,-1.7665223,552.01422,-0.90528035,0.077647664,-0.48334298
949,Szirmabesenyo,Miskolci,Borsod-Abauj-Zemplen,0.34819609,0.93163902,0.1403648,-1.1964108,724.77808,-0.66450304,0.096556,-0.78549457
951,Gadoros,Orosházi,Bekes,0.2092129,-1.4792833,0.026866401,-1.6600327,812.14288,-0.56453007,0.16511105,-1.8961029
953,Dunaszentgyorgy,Paksi,Tolna,0.2186123,-1.3162333,0.021386201,-1.6783794,520.86908,-0.95396155,0.023548136,0.4642306
958,Dunaharaszti,Szigetszentmiklósi,Pest,0.34627259,0.89827228,0.7654807,1.063266,1244.889,-0.062277589,0.0020093732,0.84375679
959,Tura,Aszódi,Pest,0.3178432,0.40511158,0.19668069,-1.0306726,1169.394,-0.14469379,0.041658752,0.21520932
960,Recsk,Pétervásárai,Heves,0.2471832,-0.82061768,0.8392632,1.5172347,761.9306,-0.65092361,0.051649176,0.019459402
969,Halasztelek,Szigetszentmiklósi,Pest,0.3437956,0.8553043,0.39663371,-0.23658869,664.4389,-0.80281651,0.014611979,0.63653857
976,Bekes,Békési,Bekes,0.29928011,0.083100162,0.49134439,0.063321218,1301.6689,0.026909217,0.011351469,0.6961959
