,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig
(Intercept),63191.83253127506,29543.925526801344,96839.73953574878,17167.614951031817,505.297329718657,3.6808742921786624,0.0002574354259886035,***
year,-31.2906210853072,-47.964048795389175,-14.61719337522523,8.507007190744241,516.9036208142029,-3.678217307651026,0.00025947586849755925,***
gdp,2.0142120042453606,0.8079831617930957,3.2204408466976258,0.615434187549794,526.8024528341516,3.2728308647663376,0.0011345918110893757,**
unemployment,6.325364753231,4.713082922415733,7.937646584046266,0.8226078864370677,592.0799705382452,7.689404462954795,6.188843531543939e-14,***
density,0.32061103644278016,0.25288904368880716,0.38833302919675317,0.03455267203283094,600.0461396703612,9.278907175055664,3.0754454744370236e-19,***
