,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-1.490,4.989,-0.299,0.765,-11.268,8.287
I_IUSNET,0.015,0.045,0.327,0.744,-0.074,0.104
GINI_HND,0.050,0.109,0.462,0.644,-0.163,0.263
povertyRisk_THS_PER,0.000,0.000,0.762,0.446,-0.000,0.000
unempRate_PC_ACT,-0.159,0.143,-1.111,0.267,-0.440,0.122
healthYears_YR,0.015,0.089,0.174,0.862,-0.159,0.190
Group Var,2.124,,,,,
