,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-4.072,10.654,-0.382,0.702,-24.953,16.808
I_IUSNET,0.115,0.086,1.334,0.182,-0.054,0.285
GINI_HND,-0.124,0.168,-0.736,0.462,-0.454,0.206
povertyRisk_THS_PER,0.000,0.000,0.519,0.604,-0.000,0.000
unempRate_PC_ACT,0.052,0.206,0.253,0.800,-0.352,0.456
healthYears_YR,0.044,0.128,0.343,0.732,-0.207,0.295
Group Var,4.522,142703176.733,,,,
