,0,1,2,3
0,Model:,MixedLM,Dependent Variable:,ICCS0101_P_HTHAB
1,No. Observations:,33,Method:,REML
2,No. Groups:,33,Scale:,0.3461
3,Min. group size:,1,Log-Likelihood:,-45.9754
4,Max. group size:,1,Converged:,Yes
5,Mean group size:,1.0,,
