,0,1,2,3
0,Model:,MixedLM,Dependent Variable:,ICCS05021_P_HTHAB
1,No. Observations:,30,Method:,REML
2,No. Groups:,30,Scale:,1900.1109
3,Min. group size:,1,Log-Likelihood:,-158.3471
4,Max. group size:,1,Converged:,Yes
5,Mean group size:,1.0,,
