,0,1,2,3
0,Model:,MixedLM,Dependent Variable:,ICCS09051_P_HTHAB
1,No. Observations:,21,Method:,REML
2,No. Groups:,21,Scale:,0.6313
3,Min. group size:,1,Log-Likelihood:,-46.4295
4,Max. group size:,1,Converged:,Yes
5,Mean group size:,1.0,,
