,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-2.431,4.219,-0.576,0.564,-10.699,5.837
I_IUSNET,0.015,0.040,0.367,0.713,-0.063,0.092
GINI_HND,0.034,0.062,0.556,0.578,-0.087,0.156
povertyRisk_THS_PER,0.000,0.000,0.714,0.475,-0.000,0.000
unempRate_PC_ACT,0.138,0.078,1.766,0.077,-0.015,0.291
healthYears_YR,0.011,0.064,0.176,0.861,-0.114,0.136
Group Var,0.631,53322292.739,,,,
