,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,208.147,36.462,5.709,0.000,136.683,279.610
I_IUSNET,-0.636,1.026,-0.619,0.536,-2.647,1.375
GINI_HND,-3.482,0.884,-3.937,0.000,-5.216,-1.749
Group Var,1900.111,,,,,
