,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig
(Intercept),12.547,7.969,17.124,2.336,4.065,5.372,0.006,**
unemployment,0.003,-0.003,0.008,0.003,1229.291,0.991,0.322,
density,0.035,0.004,0.065,0.015,0.821,2.239,0.308,
gdp,-0.028,-0.069,0.014,0.021,13.186,-1.315,0.211,

R2c:,0.6519652079966526
