,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-80.477,46.377,-1.735,0.083,-171.374,10.421
I_IUSNET,0.539,0.421,1.278,0.201,-0.287,1.364
GINI_HND,-0.160,0.725,-0.221,0.825,-1.582,1.261
povertyRisk_THS_PER,-0.000,0.001,-0.155,0.877,-0.002,0.002
unempRate_PC_ACT,-0.464,0.899,-0.516,0.606,-2.225,1.298
healthYears_YR,1.025,0.589,1.740,0.082,-0.130,2.180
Group Var,85.238,,,,,
