,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-270.160,266.915,-1.012,0.311,-793.305,252.984
I_IUSNET,8.343,2.907,2.870,0.004,2.646,14.040
GINI_HND,-2.792,5.103,-0.547,0.584,-12.794,7.211
Group Var,6871.673,11126053166.647,,,,
