,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig
(Intercept),514.57,109.308,919.832,206.77,33.407,2.489,0.018,*
unemployment,1.442,-0.334,3.218,0.906,21.354,1.591,0.126,
density,5.859,2.661,9.057,1.632,12.264,3.591,0.004,**
gdp,-0.385,-4.65,3.88,2.176,17.165,-0.177,0.862,

R2c:,0.7012225007777324
