,0,1,2,3
0,Model:,MixedLM,Dependent Variable:,ICCS07031_P_HTHAB
1,No. Observations:,29,Method:,REML
2,No. Groups:,29,Scale:,4.6052
3,Min. group size:,1,Log-Likelihood:,-74.3404
4,Max. group size:,1,Converged:,Yes
5,Mean group size:,1.0,,
