,0,1,2,3
0,Model:,MixedLM,Dependent Variable:,ICCS07041_P_HTHAB
1,No. Observations:,28,Method:,REML
2,No. Groups:,28,Scale:,83.3379
3,Min. group size:,1,Log-Likelihood:,-108.0146
4,Max. group size:,1,Converged:,Yes
5,Mean group size:,1.0,,
