,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-59.450,24.139,-2.463,0.014,-106.762,-12.138
I_IUSNET,0.811,0.400,2.025,0.043,0.026,1.596
GINI_HND,-0.834,0.860,-0.970,0.332,-2.519,0.851
povertyRisk_THS_PER,0.001,0.001,0.646,0.518,-0.001,0.003
unempRate_PC_ACT,-0.233,1.141,-0.204,0.838,-2.469,2.004
healthYears_YR,0.766,0.508,1.509,0.131,-0.229,1.761
Group Var,140.665,,,,,
