,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig
(Intercept),1396.05,218.169,2573.931,600.971,1.955,2.323,0.149,
unemployment,-0.464,-2.567,1.64,1.073,15.829,-0.432,0.672,
density,8.148,-1.164,17.459,4.751,5.499,1.715,0.142,
gdp,3.544,-3.582,10.67,3.636,17.114,0.975,0.343,

R2c:,0.7586623703330807
