metroreg,TIME_PERIOD,area,gdp,population,unemp,metroreg_d,iccs,Nr_Crimes,iccs_d
AT001MC,2015,8817.0,43200.0,2720557.0,,Wien,ICCS050211,516,Theft of a motorized land vehicle
AT001MC,2016,8817.0,44500.0,2775368.0,,Wien,ICCS0101,21,Intentional homicide
AT001MC,2016,8817.0,44500.0,2775368.0,,Wien,ICCS0401,2061,Robbery
AT001MC,2016,8817.0,44500.0,2775368.0,,Wien,ICCS05012,7327,Burglary of private residential premises
AT001MC,2016,8817.0,44500.0,2775368.0,,Wien,ICCS050211,561,Theft of a motorized land vehicle
AT001MC,2017,8817.0,44900.0,2811186.0,121.1,Wien,ICCS0101,18,Intentional homicide
AT001MC,2017,8817.0,44900.0,2811186.0,121.1,Wien,ICCS0401,1685,Robbery
AT001MC,2017,8817.0,44900.0,2811186.0,121.1,Wien,ICCS05012,6678,Burglary of private residential premises
AT001MC,2017,8817.0,44900.0,2811186.0,121.1,Wien,ICCS050211,474,Theft of a motorized land vehicle
AT001MC,2018,8817.0,46600.0,2838558.0,114.6,Wien,ICCS0101,41,Intentional homicide
AT001MC,2018,8817.0,46600.0,2838558.0,114.6,Wien,ICCS0401,1474,Robbery
AT001MC,2018,8817.0,46600.0,2838558.0,114.6,Wien,ICCS05012,4761,Burglary of private residential premises
AT001MC,2018,8817.0,46600.0,2838558.0,114.6,Wien,ICCS050211,408,Theft of a motorized land vehicle
AT001MC,2019,8817.0,47800.0,2853903.0,108.7,Wien,ICCS0101,32,Intentional homicide
AT001MC,2019,8817.0,47800.0,2853903.0,108.7,Wien,ICCS0401,1607,Robbery
AT001MC,2019,8817.0,47800.0,2853903.0,108.7,Wien,ICCS05012,4843,Burglary of private residential premises
AT001MC,2019,8817.0,47800.0,2853903.0,108.7,Wien,ICCS050211,433,Theft of a motorized land vehicle
AT001MC,2020,8817.0,45100.0,2873995.0,122.9,Wien,ICCS0101,18,Intentional homicide
AT001MC,2020,8817.0,45100.0,2873995.0,122.9,Wien,ICCS0401,1269,Robbery
AT001MC,2020,8817.0,45100.0,2873995.0,122.9,Wien,ICCS05012,3213,Burglary of private residential premises
AT001MC,2020,8817.0,45100.0,2873995.0,122.9,Wien,ICCS050211,447,Theft of a motorized land vehicle
AT002M,2008,3456.3,36100.0,,,Graz,ICCS0101,3,Intentional homicide
AT002M,2008,3456.3,36100.0,,,Graz,ICCS0401,154,Robbery
AT002M,2008,3456.3,36100.0,,,Graz,ICCS05012,923,Burglary of private residential premises
AT002M,2009,3456.3,35100.0,,,Graz,ICCS0101,1,Intentional homicide
AT002M,2009,3456.3,35100.0,,,Graz,ICCS0401,184,Robbery
AT002M,2009,3456.3,35100.0,,,Graz,ICCS05012,1040,Burglary of private residential premises
AT002M,2010,3456.3,35600.0,,,Graz,ICCS0101,2,Intentional homicide
AT002M,2010,3456.3,35600.0,,,Graz,ICCS0401,220,Robbery
AT002M,2010,3456.3,35600.0,,,Graz,ICCS05012,792,Burglary of private residential premises
AT002M,2011,3456.3,37600.0,,,Graz,ICCS0101,2,Intentional homicide
AT002M,2011,3456.3,37600.0,,,Graz,ICCS0401,175,Robbery
AT002M,2011,3456.3,37600.0,,,Graz,ICCS05012,745,Burglary of private residential premises
AT002M,2012,3456.0,38600.0,,,Graz,ICCS0101,1,Intentional homicide
AT002M,2012,3456.0,38600.0,,,Graz,ICCS0401,199,Robbery
AT002M,2012,3456.0,38600.0,,,Graz,ICCS05012,1005,Burglary of private residential premises
AT002M,2013,3479.0,38800.0,,,Graz,ICCS0101,2,Intentional homicide
AT002M,2013,3479.0,38800.0,,,Graz,ICCS0401,155,Robbery
AT002M,2013,3479.0,38800.0,,,Graz,ICCS05012,944,Burglary of private residential premises
AT002M,2013,3479.0,38800.0,,,Graz,ICCS050211,101,Theft of a motorized land vehicle
