,0,1,2,3
0,Model:,MixedLM,Dependent Variable:,ICCS05012_P_HTHAB
1,No. Observations:,26,Method:,REML
2,No. Groups:,26,Scale:,6871.6732
3,Min. group size:,1,Log-Likelihood:,-150.7167
4,Max. group size:,1,Converged:,Yes
5,Mean group size:,1.0,,
