,0,1,2,3
0,Model:,MixedLM,Dependent Variable:,ICCS03012_P_HTHAB
1,No. Observations:,24,Method:,REML
2,No. Groups:,24,Scale:,248.4243
3,Min. group size:,1,Log-Likelihood:,-105.3137
4,Max. group size:,1,Converged:,Yes
5,Mean group size:,1.0,,
