,0,1,2,3
0,Model:,MixedLM,Dependent Variable:,ICCS020111_P_HTHAB
1,No. Observations:,26,Method:,REML
2,No. Groups:,26,Scale:,9237.0738
3,Min. group size:,1,Log-Likelihood:,-150.7536
4,Max. group size:,1,Converged:,Yes
5,Mean group size:,1.0,,
