,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-148.311,88.726,-1.672,0.095,-322.211,25.589
I_IUSNET,2.226,1.099,2.026,0.043,0.073,4.379
GINI_HND,-1.578,1.995,-0.791,0.429,-5.489,2.333
povertyRisk_THS_PER,0.001,0.002,0.367,0.714,-0.004,0.006
unempRate_PC_ACT,-0.167,2.668,-0.063,0.950,-5.395,5.061
healthYears_YR,1.305,0.661,1.975,0.048,0.010,2.600
Group Var,770.578,,,,,
