,0,1,2,3
0,Model:,MixedLM,Dependent Variable:,ICCS0703_P_HTHAB
1,No. Observations:,32,Method:,REML
2,No. Groups:,32,Scale:,700.5756
3,Min. group size:,1,Log-Likelihood:,-154.9823
4,Max. group size:,1,Converged:,Yes
5,Mean group size:,1.0,,
