,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,425.414,406.884,1.046,0.296,-372.064,1222.892
I_IUSNET,5.795,4.583,1.264,0.206,-3.188,14.778
GINI_HND,-15.578,8.135,-1.915,0.055,-31.522,0.366
Group Var,18552.844,18281639070.602,,,,
