,0,1,2,3
0,Model:,MixedLM,Dependent Variable:,ICCS03011_P_HTHAB
1,No. Observations:,31,Method:,REML
2,No. Groups:,31,Scale:,115.8645
3,Min. group size:,1,Log-Likelihood:,-124.6653
4,Max. group size:,1,Converged:,Yes
5,Mean group size:,1.0,,
