,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-185.157,133.668,-1.385,0.166,-447.141,76.828
I_IUSNET,1.420,0.868,1.636,0.102,-0.282,3.123
GINI_HND,0.275,3.602,0.076,0.939,-6.785,7.335
povertyRisk_PC,-2.359,2.640,-0.894,0.371,-7.532,2.814
unempRate_PC_ACT,0.323,2.723,0.119,0.906,-5.013,5.659
healthYears_YR,2.794,1.434,1.949,0.051,-0.016,5.603
Group Var,719.992,,,,,
