,0,1,2,3
0,Model:,MixedLM,Dependent Variable:,ICCS0501_P_HTHAB
1,No. Observations:,24,Method:,REML
2,No. Groups:,24,Scale:,22039.0746
3,Min. group size:,1,Log-Likelihood:,-138.6589
4,Max. group size:,1,Converged:,Yes
5,Mean group size:,1.0,,
