,0,1,2,3
0,Model:,MixedLM,Dependent Variable:,ICCS0701_P_HTHAB
1,No. Observations:,26,Method:,REML
2,No. Groups:,26,Scale:,144114.2248
3,Min. group size:,1,Log-Likelihood:,-171.1987
4,Max. group size:,1,Converged:,Yes
5,Mean group size:,1.0,,
