,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-111.790,47.537,-2.352,0.019,-204.960,-18.620
I_IUSNET,1.273,0.634,2.010,0.044,0.032,2.515
GINI_HND,-1.275,1.156,-1.102,0.270,-3.541,0.992
povertyRisk_THS_PER,0.002,0.001,1.360,0.174,-0.001,0.005
unempRate_PC_ACT,-0.555,1.535,-0.362,0.718,-3.565,2.454
healthYears_YR,1.443,0.429,3.364,0.001,0.602,2.284
Group Var,248.424,,,,,
