,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,7.966,4.902,1.625,0.104,-1.642,17.574
I_IUSNET,-0.085,0.066,-1.300,0.194,-0.214,0.043
GINI_HND,-0.012,0.030,-0.400,0.689,-0.071,0.047
Group Var,4.605,,,,,
