,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,64.949,75.883,0.856,0.392,-83.780,213.678
I_IUSNET,-0.011,0.738,-0.016,0.988,-1.457,1.434
GINI_HND,-0.850,1.600,-0.531,0.595,-3.986,2.286
Group Var,735.615,,,,,
