,0,1,2,3
0,Model:,MixedLM,Dependent Variable:,ICCS0601_P_HTHAB
1,No. Observations:,27,Method:,REML
2,No. Groups:,27,Scale:,34835.3090
3,Min. group size:,1,Log-Likelihood:,-164.0310
4,Max. group size:,1,Converged:,Yes
5,Mean group size:,1.0,,
