,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.411,0.758,0.542,0.588,-1.076,1.897
I_IUSNET,-0.015,0.024,-0.653,0.514,-0.062,0.031
GINI_HND,-0.128,0.082,-1.563,0.118,-0.288,0.032
povertyRisk_PC,0.141,0.066,2.126,0.033,0.011,0.271
unempRate_PC_ACT,0.089,0.076,1.176,0.240,-0.059,0.238
healthYears_YR,0.032,0.040,0.784,0.433,-0.048,0.111
Group Var,0.522,,,,,
