,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-164.145,204.000,-0.805,0.421,-563.977,235.688
I_IUSNET,0.001,1.445,0.001,1.000,-2.832,2.833
GINI_HND,-1.800,5.527,-0.326,0.745,-12.631,9.032
povertyRisk_PC,-2.422,4.062,-0.596,0.551,-10.384,5.539
unempRate_PC_ACT,10.377,4.029,2.575,0.010,2.480,18.274
healthYears_YR,4.522,2.047,2.209,0.027,0.509,8.535
Group Var,1465.902,2097909368.262,,,,
