,0,1,2,3
0,Model:,MixedLM,Dependent Variable:,ICCS020221_P_HTHAB
1,No. Observations:,22,Method:,REML
2,No. Groups:,22,Scale:,2.0618
3,Min. group size:,1,Log-Likelihood:,-50.4689
4,Max. group size:,1,Converged:,Yes
5,Mean group size:,1.0,,
