,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-93.550,52.387,-1.786,0.074,-196.226,9.127
I_IUSNET,0.632,0.334,1.891,0.059,-0.023,1.287
GINI_HND,0.469,1.443,0.325,0.745,-2.359,3.297
povertyRisk_PC,-0.510,1.019,-0.500,0.617,-2.506,1.487
unempRate_PC_ACT,-0.284,0.965,-0.294,0.769,-2.176,1.608
healthYears_YR,0.993,0.514,1.932,0.053,-0.015,2.000
Group Var,84.121,,,,,
