,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-139.396,84.175,-1.656,0.098,-304.376,25.583
I_IUSNET,1.723,1.051,1.640,0.101,-0.336,3.782
GINI_HND,-2.508,1.940,-1.293,0.196,-6.311,1.294
povertyRisk_THS_PER,0.002,0.002,0.675,0.500,-0.003,0.006
unempRate_PC_ACT,-0.644,2.599,-0.248,0.804,-5.738,4.450
healthYears_YR,2.294,0.786,2.919,0.004,0.754,3.834
Group Var,731.631,,,,,
