,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-108.306,82.274,-1.316,0.188,-269.560,52.949
I_IUSNET,0.325,1.570,0.207,0.836,-2.753,3.402
GINI_HND,-4.781,2.795,-1.711,0.087,-10.258,0.697
povertyRisk_THS_PER,0.002,0.003,0.613,0.540,-0.004,0.009
unempRate_PC_ACT,9.221,3.724,2.476,0.013,1.922,16.520
healthYears_YR,3.900,1.086,3.592,0.000,1.772,6.029
Group Var,1465.051,,,,,
