,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-17.711,83.591,-0.212,0.832,-181.546,146.124
I_IUSNET,0.613,0.834,0.735,0.462,-1.021,2.247
GINI_HND,-1.504,1.340,-1.122,0.262,-4.130,1.123
povertyRisk_THS_PER,0.000,0.002,0.024,0.981,-0.003,0.003
unempRate_PC_ACT,-0.636,1.748,-0.364,0.716,-4.062,2.790
healthYears_YR,0.836,1.093,0.765,0.444,-1.305,2.978
Group Var,328.997,,,,,
