,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,12.322,9.177,1.343,0.179,-5.665,30.308
I_IUSNET,-0.084,0.080,-1.052,0.293,-0.240,0.072
GINI_HND,-0.007,0.144,-0.045,0.964,-0.289,0.276
povertyRisk_THS_PER,0.000,0.000,0.023,0.982,-0.000,0.000
unempRate_PC_ACT,-0.263,0.191,-1.379,0.168,-0.637,0.111
healthYears_YR,-0.053,0.124,-0.427,0.669,-0.295,0.189
Group Var,3.883,,,,,
