DATAFLOW,LAST UPDATE,freq,unit,landuse,metroreg,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT001MC:Wien,2021,8522,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT001MC:Wien,2022,8522,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT002M:Graz,1991,3416.6,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT002M:Graz,1992,3416,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT002M:Graz,1993,3415.8,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT002M:Graz,1994,3415.5,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT002M:Graz,1995,3414.8,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT002M:Graz,1996,3414.9,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT002M:Graz,1997,3414.9,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT002M:Graz,1998,3414.1,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT002M:Graz,2000,3414.3,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT002M:Graz,2002,3414.2,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT002M:Graz,2003,3414.2,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT002M:Graz,2005,3414.1,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT002M:Graz,2006,3414.1,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT002M:Graz,2007,3414.1,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT002M:Graz,2008,3417.7,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT002M:Graz,2009,3417.7,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT002M:Graz,2010,3417.6,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT002M:Graz,2011,3417.6,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT002M:Graz,2012,3416,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT002M:Graz,2013,3437,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT002M:Graz,2014,3437,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT002M:Graz,2015,3437,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT002M:Graz,2016,3437,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT002M:Graz,2017,3437,
