,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-134.826,85.550,-1.576,0.115,-302.501,32.850
I_IUSNET,1.588,0.974,1.630,0.103,-0.321,3.497
GINI_HND,-1.015,1.765,-0.575,0.566,-4.475,2.446
povertyRisk_THS_PER,0.004,0.002,1.806,0.071,-0.000,0.008
unempRate_PC_ACT,3.811,2.417,1.577,0.115,-0.926,8.549
healthYears_YR,1.243,0.819,1.518,0.129,-0.362,2.848
Group Var,633.785,,,,,
