,0
Intercept,12.321758161189699
I_IUSNET,-0.08390691718110432
GINI_HND,-0.006534542628139609
povertyRisk_THS_PER,4.0098904686340966e-06
unempRate_PC_ACT,-0.2632635878928485
healthYears_YR,-0.05283178239751652
Group Var,1.0
