,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-204.639,517.492,-0.395,0.693,-1218.904,809.627
I_IUSNET,9.280,5.754,1.613,0.107,-1.997,20.556
GINI_HND,-14.022,10.721,-1.308,0.191,-35.034,6.991
povertyRisk_THS_PER,0.013,0.012,1.053,0.292,-0.011,0.037
unempRate_PC_ACT,-4.832,14.246,-0.339,0.734,-32.753,23.089
healthYears_YR,5.720,0.955,5.988,0.000,3.848,7.592
Group Var,21667.702,,,,,
