,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-835.519,307.388,-2.718,0.007,-1437.989,-233.049
I_IUSNET,13.001,3.239,4.013,0.000,6.652,19.350
GINI_HND,-3.893,5.441,-0.716,0.474,-14.558,6.771
povertyRisk_THS_PER,0.014,0.007,2.176,0.030,0.001,0.027
unempRate_PC_ACT,2.889,7.399,0.390,0.696,-11.613,17.390
healthYears_YR,3.942,1.890,2.085,0.037,0.237,7.647
Group Var,5668.980,,,,,
